tarih,faz,arac,katman,gorev,girdi_kaynak,cikti_artefakt,dogrulama_durumu,insan_onayi,not
2026-07-24,setup,ona,-,NSCLC SR calisma alani iskeleti (dizin + playbook + sablon + yonetisim),-,NSCLC/ alt-agaci,verified,evet,Klinik-proje modelinden sistematik-derleme (SR) modeline yeniden yapilandirma; ham veri yok
2026-07-24,F2-F4,pubmed-epmc+openalex+semantic-scholar+globocan+titck-cache+mevzuat,L1/L2+L5,BP27 atezolizumab NSCLC problem.md iddia dogrulama (7 eksen; 5 paralel literatur ajani + 2 dogrudan),problem.md,02_search/bp27_atezolizumab_tr_search_log.md + 04_extraction/bp27_atezolizumab_tr_extraction.csv,verified,evet,Gercek PMID/DOI zorunlu; uydurma yok; SGK SUT birincil metni erisilemedi (medikaynak portali kullanildi); who-gho akciger-ozgu bos
2026-07-24,F6,koordinator-sentez,L2+L5,claim-by-claim degerlendirme + geri-bildirim yaniti sentezi,04_extraction/bp27_atezolizumab_tr_extraction.csv,06_synthesis/bp27_atezolizumab_tr_synthesis.md,verified,evet,Deterministik guard (extraction_direction + context_source) PASS; F7 tam HARD-gate/sci-audit/galileo formal manuskript adimi olarak acikca isaretli (bu kosumda kosulmadi)
2026-07-24,F2-arama,claude+5 alt-ajan,L1 evidentia,"problem.md (BP27 TR atezolizumab) genis-kapsam kanit taramasi: 7 eksen (1L IO DoT/rwToT/RMST; ECOG kotu-PS ICI; 2L atezolizumab OAK/TAIL; Evre III KRT+durvalumab; TR ruhsat/SUT; epidemiyoloji; pazar-matematigi)",problem.md,08_reports/ (degerlendirme; henuz dosyalanmadi),partial,hayir,"pubmed-epmc/openalex/semantic-scholar + GLOBOCAN API; ham veri yok; her sayi PMID/DOI+lokatore bagli"
2026-07-24,F2-arama,globocan,L5 baglam,"IARC GLOBOCAN 2022 TR (kod 792) akciger (C33-34) insidans/mortalite/prevalans dogrulama",gco-api.iarc.fr,-,verified,hayir,"insidans 41032 (UI 36224-46478); mortalite 38505; 5-yil prevalans 54335; belge 37846/31674/49303 (GLOBOCAN 2024 etiketi) ile tutarsiz; modellenmis tahmin"
2026-07-24,F2-arama,pubmed-epmc,L1 evidentia,"TR epidemiyoloji atif dogrulama Cangir 2022 + STONE Onal 2022",pubmed,-,partial,hayir,"Cangir JTO 2022 17:1158-1170 PMID 36192076 gercek/dogru-atifli; STONE UHOD DOI 10.4999/uhod.225876 PubMed/EPMC indeksli degil=unverified"
2026-07-24,F2-arama,globocan+who-gho+seer,L5 baglam,"Wave-2 derin epidemiyoloji dogrudan: GLOBOCAN cinsiyet-ayrimi + WHO tutun + SEER evre dagilimi",gco-api/ghoapi/seer.cancer.gov,-,verified,hayir,"GLOBOCAN 2022 TR akciger erkek 33039 / kadin 7993 (M:F 4,1); WHO TR erkek guncel sigara ~%44 (2020), ~%48 (2010), her-iki ~%30-32; SEER21 2016-2022 evre lokalize %24/bolgesel %21/uzak %51"
2026-07-24,F2-arama,claude+5 alt-ajan,L1 evidentia,"Wave-2 kayit-kutugu/epidemiyoloji genis tarama: TR kanser kayit (histoloji/evre-tani), uluslararasi SEER/NLCA/NCR, driver(EGFR/ALK/ROS1)+PD-L1, LoT atrisyon 1L->2L, TR gercek-yasam IO/durvalumab kohortlari",problem.md,08_reports/ (waterfall; henuz dosyalanmadi),partial,hayir,"WebSearch VPCSC-bloke; kayit PDF cikarilamadi; kanit pubmed/openalex/S2 uzerinden; her sayi PMID/DOI+lokator"
2026-07-24,F6,koordinator-sentez,L2+L5,"Wave-2 kayit-capali TR uygunluk selalesi + derinlestirilmis degerlendirme (Kol A metastatik 2L atezo; Kol B Evre III post-KRT->TEC); selale carpanlari kaynak-bagli",problem.md,08_reports/ (entegre degerlendirme; kullaniciya sunuldu),verified,evet,"Carpanlar: NSCLC ~0.77-0.85 (PMID 27296106); Evre IV ~0.40 / Evre III ~0.26 (PMID 32857164); metastatik->1L ~0.60 + 1L->2L ~0.45 (DOI 10.1002/cam4.2854, PIvOTAL PMID 28748556); driver-negatif ~0.80 (PMID 38904451/28832323); ECOG0-1 ~0.78 (PMID 40165351); sirali-IO daralma PACIFIC %29->13 (PMID 35108059) + 1L-IO progresor ~%21 2L (DOI 10.3390/curroncol30060402); Evre III under-treatment (PMID 31514942); durvalumab KUB sirali-IO dislama (IMFINZI 19/01/2026). TR-ozgu stage ajani (a47d...) henuz kosuyor"
2026-07-24,F4-cikarim,minerva+openathens+annas+pubmed-epmc (7 alt-ajan),L2 tam-metin,"Tam-metin kaskad kampanyasi: bu turda incelenen ~54 makalenin maksimum-detay cikarimi (7 eksen batch)",problem.md kaynak-listesi,08_reports/bp27_atezolizumab_tr_fulltext_dossier.md,partial,evet,"Kaskad Minerva->EPMC/PMC->annas; 49/54 tam-metin (~31 Minerva Tier-1, ~13 PMC Tier-2, 2 Unpaywall/annas), 5 abstract-only=unverified (Nations/Midha-govde/Basdemirci/Kilickap/Kapagan); OpenAthens Tier-3 KULLANILAMADI (validated:false, noVNC challenge gerek); anamnesis RAG ingest anahtarsiz(401); G-COPYRIGHT hedefli cikarim; her sayi PMID/DOI+lokator"
