"id","title","related_analysis","chapter_ref","mode","source_doc","original_png","source_png_md5","svg_file","svg_bytes","svg_md5","fidelity_status","carbon_style_status","carbon_aesthetic_status","technical_diagram_role","technical_native_status","technical_diagram_status","non_carbon_hex_count","non_carbon_rgb_count","chart_palette_hits","text_primary_hits","text_secondary_hits","grid_hits"
"strobe_flow","Analitik örneklem akış diyagramı","Analitik akış / STROBE","@fig-strobe-flow","targets-native-vector","chapters/03_bulgular.qmd","outputs/figures/strobe_flow.png","1901a4959023f32dee8e91bfff2b150c","docs/assets/figures/carbon/primary/fig-01-strobe-flow.svg",6677,"9e1d0572684c1c6d7fc9f165a7ae976c","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette","PASS: Carbon Charts","Flow shape + Flow number + Connector + Label pill","PASS: custom Technical Diagram SVG; no chart grid/axis/raster layer","PASS: full Figma Technical Diagram Library SVG",0,0,0,0,0,0
"causal_dag","Causal DAG ve ayarlama stratejisi","DAG ve ayarlama seti","@fig-causal-dag","targets-native-vector","chapters/03_bulgular.qmd","outputs/figures/causal_dag.png","430bb3a54d7e16df78b67f4d19136de7","docs/assets/figures/carbon/primary/fig-02-causal-dag.svg",14254,"f2fb9d5ddd29a777fc97b1e343c97b2e","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette","PASS: Carbon Charts","Large node + Connector + Legend","PASS: custom Technical Diagram SVG; no chart grid/axis/raster layer","PASS: full Figma Technical Diagram Library SVG",0,0,0,0,0,0
"smd_love_plot","SMD love plot","Propensity denge","@fig-smd-love","targets-native-vector","chapters/03_bulgular.qmd","outputs/figures/smd_love_plot.png","17684eac3dfa366b15493bc39516941f","docs/assets/figures/carbon/primary/fig-03-smd-love-plot.svg",141578,"53de8da4ed32357eea4871e9065fb355","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette","PASS: Carbon Charts",NA,"N/A","N/A",0,0,8,2,13,9
"propensity_overlap","Eğilim skoru örtüşmesi","Propensity ortak destek","@fig-propensity-overlap","targets-native-vector","chapters/03_bulgular.qmd","outputs/figures/propensity_overlap.png","84d05eefa8b96d705e322b093420154f","docs/assets/figures/carbon/primary/fig-04-propensity-overlap.svg",274705,"cbe8ebba7a01a6c2faf84d1087ec7e54","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette","PASS: Carbon Charts",NA,"N/A","N/A",0,0,123,4,136,8
"ses_correlation_heatmap","SES korelasyon matrisi","SES kompozit validasyonu","@fig-ses-correlation","targets-native-vector","chapters/03_bulgular.qmd","outputs/figures/ses_correlation_heatmap.png","4425d2dca0608caa9ae2f60a64dd516a","docs/assets/figures/carbon/primary/fig-05-ses-correlation-heatmap.svg",172028,"09c657aabd4ce91fdb618df5a0744460","PASS: native SVG; heatmap/surface benzeri raster katman içeriyor","PASS: IBM Plex + Carbon Charts metadata/palette","PASS: Carbon Charts; raster/gradient istisnası notlandı",NA,"N/A","N/A",0,14,0,38,19,12
"missing_pattern_primary","Primary FIML/MI eksiklik haritası","Eksik veri yapısı","missing-data-audit","missing-native-vector","scripts/R/13_missing_data_audit.R","outputs/figures/missing_pattern_primary.png","7c43fd0d933d1127fbadf52772b287d3","docs/assets/figures/carbon/primary/fig-06-missing-pattern-primary.svg",195615,"b33345bc2bdeb135059d7f45cc66c64a","PASS: native SVG; heatmap/surface benzeri raster katman içeriyor","PASS: IBM Plex + Carbon Charts metadata/palette","PASS: Carbon Charts; raster/gradient istisnası notlandı",NA,"N/A","N/A",0,1,0,2,45,40
"h1_forest","H1 çocuk algısı forest plot","H1 çocuk algısı","@fig-h1-forest","targets-native-vector","chapters/03_bulgular.qmd","outputs/figures/h1_forest.png","dec437d23fbb21b9fd038ade5b2394d6","docs/assets/figures/carbon/primary/fig-07-h1-forest.svg",167172,"e33c6a86b628b2d14752aa4939c91071","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette","PASS: Carbon Charts",NA,"N/A","N/A",0,0,23,3,11,7
"h1_three_way_emm","H1 rol x yaş x cinsiyet EMM paneli","H1 etkileşim tanısı","@fig-h1-three-way-emm","targets-native-vector","chapters/03_bulgular.qmd","outputs/figures/h1_three_way_emm.png","6e96d6e0ce827dc12e2d257b1b46a76d","docs/assets/figures/carbon/primary/fig-08-h1-three-way-emm.svg",256160,"2554d0eddeb390691cfef508f697a71b","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette","PASS: Carbon Charts",NA,"N/A","N/A",0,0,67,10,27,70
"h2_apim_path","H2 APIM yol diyagramı","H2 kardeş ilişkisi APIM","@fig-h2-apim-path","targets-native-vector","chapters/03_bulgular.qmd","outputs/figures/h2_apim_path.png","0e4ea9a0378b3c2e66f95b515de3e8f3","docs/assets/figures/carbon/primary/fig-09-h2-apim-path.svg",12412,"ae63ecf1d01923475764ea007561f53f","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette","PASS: Carbon Charts","Large node + Connector line ending + Label text","PASS: custom Technical Diagram SVG; no chart grid/axis/raster layer","PASS: full Figma Technical Diagram Library SVG",0,0,0,0,0,0
"h3_stratified_forest","H3 antidepresan katmanlı forest plot","H3 anne öz-bildirimi","@fig-h3-stratified-forest","targets-native-vector","chapters/03_bulgular.qmd","outputs/figures/h3_stratified_forest.png","9988c7e9668d8de25fb23e0770293681","docs/assets/figures/carbon/primary/fig-10-h3-stratified-forest.svg",162417,"d5a2923792cd6b7ea1976686553d41c6","PASS: native SVG, kaynak PNG mevcut","PASS: IBM Plex + Carbon Charts metadata/palette","PASS: Carbon Charts",NA,"N/A","N/A",0,0,46,6,15,8
