id	katman	repo	yol	rol	erisim	tez_kullanimi	dogrulama	sha256	metadata_utc
guide_pdf	L0 resmi	doktoratezi	docs/tez-kilavuz/TEZ YAZIM KLAVUZU-2025.pdf	Resmi tez yazım kılavuzu	repo içi	Format ve bölüm kuralları	Dosya varlığı + format kontratı		2026-06-30
guide_docx	L0 resmi	doktoratezi	docs/tez-kilavuz/TEZ ŞABLONLARI-2026-2RV.docx	Resmi tez şablonu	repo içi	Ön bölümler ve şablon yerleşimi	Dosya varlığı + kılavuz ledgeri		2026-06-30
clinical_csr_final	L1 klinik	doktoratezi	docs/CLINICAL-STUDY-REPORT-FINAL.md	Güncel klinik çalışma sonuç raporu	repo içi kanonik	Nicel yöntem, bulgular, örneklem ve klinik yorum sınırı	CSR + SAP + tests	27f525c9f4fb0ac84146706970b91c74227d9af0da93039fdf8ce0b5e34f89a2	2026-06-30
qual_canonical_report	L2 nitel	doktoratezi	niteliksel/06_manuscript_outputs/qualitative_canonical_results_for_doktoratezi.md	Nitel çalışma sonuç raporu	türetilmiş kanonik	Nitel bulguların varsayılan tez temsil kaynağı	Nitel AI reliability + kaynak hash eşleşmesi	7d6750481bf48861a4bcd6f73805625e3fc647c7e453ab34741d5ec070336303	2026-08-01
clinical_protocol	L1 klinik	doktoratezi	docs/protokol/KLINIK_CALISMA_PROTOKOLU.md	Klinik çalışma protokolü	repo içi kanonik	Etik, tasarım, örneklem, ölçüm ve veri toplama	CSR/protokol tutarlılığı	92d08fc92eca062660d55064f150bd146e6a381e43eb87d6cd5f1b78a8627a22	2026-06-30
data_contract	L1 veri	doktoratezi	docs/protokol/FINAL_REFERENCE_VERI_HARITASI.md	Final veri sözleşmesi	repo içi kanonik	Değişken şeması, structural NA, final CSV standardı	final_reference_loading + data_governance	08701d816a173eb44448316308df0aaea379f13bd5349f2f064ad98b6b90cc6a	2026-06-30
raw_clinical_csv	L1 veri	doktoratezi	data/raw/Raw Data - Final.csv	Tarihsel ham klinik veri	korumalı	Satır düzeyi açılmaz; yalnız reprodüksiyon/doğrulama	data_governance + lock zinciri	384002787e1c319e761b713f57e55e347e0384e26099487972397accc1214671	2026-06-30
analysis_lock	L1 veri	doktoratezi	data/processed/FINAL_REFERENCE__CANONICAL_ANALYSIS_BASE.lock	Kanonik analiz kilidi	kontrollü	Hash, satır/sütun ve final analiz baz doğrulaması	test_reproducibility_lock	9bf4f16210b2a82329a43f5f047fd18e624fa5820c469ecf7a808aa4d6ad58ef	2026-06-30
analysis_family_csv	L1 veri	doktoratezi	data/processed/FINAL_REFERENCE__analysis_base_family.csv	Family analiz bazı	kontrollü	Aggregate analiz ve tablo üretimi; içerik dökülmez	validate_and_load + tests	509d8905aa28b59b9731fedcc88dc3656123a57f7a08cc8dbf37382f8db76aa2	2026-06-30
analysis_long_csv	L1 veri	doktoratezi	data/processed/FINAL_REFERENCE__analysis_base_long.csv	Long analiz bazı	kontrollü	Aggregate analiz ve tablo üretimi; içerik dökülmez	validate_and_load + tests	764d345eda31453992790e83a1ba20f6fe5dc8ab77d541a3879e13a62359dc97	2026-06-30
